User,veAEQ % Owned,Amount Owed
0xc66efb4b2f4428e9d16f722b5c29c4cbebdee9fa,0.0089,0.47169999999999995
0x75c1d99b8c39dd31b6815a6269dc7b16d43a11c1,0.0088,0.46640000000000004
0x6a4c5f9fc313716dae3ae69f10054dfc803fb781,0.0087,0.4611
0xe67f88dc8ec4f1010fb089430293d693b3b7b6ea,0.0085,0.4505
0x6a6575d84d60ec2b41055816e03b45f5a0098ee9,0.0084,0.4452
0x10f2bab6d1634673c7037b853cdc4e1fbd477d8d,0.0084,0.4452
0x7829bbfbc9e16f073b7c8eee120a2db41a0751e7,0.0083,0.4399
0xe41415c2ad9cdea1b284e81ee3e79af9f3765169,0.0082,0.4346
0x09530e14a5658bcee95b2120c271004b482e5833,0.0081,0.42929999999999996
0x6db521efdbe36389a44b576db4747a2fe1e88646,0.0081,0.42929999999999996
0xd860bee6c3a6e8bba5e6e4eefd5499a1a018eee7,0.0076,0.40280000000000005
0x1cce12e31cb4d0b32d4ea00ca511991c84f87c81,0.0076,0.40280000000000005
0xe58000ce4dd92a478959a24392d43d4c100c85fd,0.0075,0.39749999999999996
0x30a6fddac82ee8f996572bfa9219b46e560fb61f,0.0074,0.39220000000000005
0x450d917214101a4e3f5af7ac0eb1425afa20791a,0.0074,0.39220000000000005
0xaec539a116fa75e8bdcf016d3c146a25bc1af93b,0.0073,0.3869
0x7a167ee9162df7ad4e1755383d4e7679ba8fa89a,0.0073,0.3869
0x9d94b60f5da3bfc9510a9702037bceec0ca02403,0.0071,0.3763
0xbcb1af485f5d9c5f650de240dc07fdeed35d7ace,0.007,0.37100000000000005
0x5f0ff52df8df2c5351c47b6711c33f36c5402909,0.007,0.37100000000000005
0xba1c6c06d1517b85f5ec5386a253352b417c8fa3,0.007,0.37100000000000005
0xd654dfe28b8b4f6f956040262fbc7b97ce80c419,0.0069,0.36569999999999997
0x355ebecaa9637140cbd0559ac5f522ff5ac77f9d,0.0069,0.36569999999999997
0xd7a9c1dbde7f413cd9bb648a0d0994a203450cce,0.0068,0.3604
0x9b4a54f384141265360bd93e4058f7ffca6b4aea,0.0068,0.3604
0xb2f9ee7d76740fb4dc7de7a69beffa8e1fff25dd,0.0068,0.3604
0xa42cdb9e4b242a3a1417f64dd376d81d75098aaa,0.0067,0.3551
0x08ab1408ed6ccbf07b2f27c88c51a75b30665cbc,0.0067,0.3551
0x9e54d4b157c5ccd12b444be5e1e59386a79710e2,0.0066,0.3498
0xc341e0fd548298de89b38fe31f2ac63457105451,0.0065,0.3445
0xb121888b98e201e508bf2e0c7db965bd228797d2,0.0064,0.3392
0xfe221946628d02719d28667460c50d074a974227,0.0062,0.3286
0x8cc6cc66ab36cb77d0cb75d1951b1fda5c0b6940,0.0062,0.3286
0xe3849522e67102a52c03d49db7a73cc61245bd44,0.006,0.318
0xc9043e76dd81194f663abe55d2762e363ff4ccc1,0.0059,0.3127
0x7afd1856184d86f01f2efb2dc199f5a5802a328b,0.0059,0.3127
0x0075e788eb9cd476c2f2c13c0c7ef6e52da8fcbf,0.0057,0.30210000000000004
0x9296ff140e643316f7c016d68659dccc47fedffc,0.0057,0.30210000000000004
0x8f25818ff64be1abee91abca70c306b33b602062,0.0054,0.2862
0xc1710b9b466954b8708a3d3f32214c951f98431b,0.0054,0.2862
0x98a104e9d1259f23d2a0ab6bce1e5635b9d7e72e,0.0054,0.2862
0x0340ead03ae07ab1c50731af5a4279ccf266e91d,0.0053,0.2809
0x5b73422bf63ba9456cf6f0d9f0878caa759a729e,0.0052,0.27559999999999996
0x1152cdc10cd9aa0750f15e2630e777252e07e34e,0.0051,0.27030000000000004
0xac1ab8cfd1b6eea796e8c2f2cadd57be13817f56,0.0049,0.2597
0x79e9d3ac1c847a6e3601161a27ea3d9f16231ae8,0.0049,0.2597
0x405b36c8f1faa622111b58ee27622dcc5ad42b63,0.0048,0.25439999999999996
0x3c6d4ff09fac50ca6ec6802d4a04d884ced969ec,0.0048,0.25439999999999996
0xa376012f41e6b4d954cc0e9564ff43efa6585424,0.0047,0.24910000000000002
0x8daacd4e46a914b032b50e28e504d441ec6218be,0.0047,0.24910000000000002
0x238643d4106c7c6206f8dc31acb59cd24c979d12,0.0046,0.2438
0xce57b0293badd862e2d83e737cd4c4bb6bc586a8,0.0045,0.2385
0x03b8af1f1804e44971b3791f756f38c41748bfd8,0.0044,0.23320000000000002
0xd1c0637534d184be38d833408a1cbf69c6113c6a,0.0044,0.23320000000000002
0x61d2cecb107aa5abf61d0260e171c4e4512c5612,0.0043,0.22790000000000002
