User,veAEQ Balance at block 22721125,veAEQ % Owned,,Unlock Date (UTC),Lock last updated,,,
0x9ce4e0665f090090c069d0c6fd6132d5755e54bf,1176.689217,0.1498,,"Thu, 19 Oct 2023 00:00:00 GMT",Mon Oct 31 2022,,,
0x9d2c87f55ace54b382912c3754fbf879e237dbee,1141.763413,0.1454,,"Thu, 07 Sep 2023 00:00:00 GMT",Tue Sep 13 2022,,,
0xe2b79bf57d239d114fccf0e51e9a084b0bf3acf1,1069.375502,0.1362,,"Thu, 19 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0x154a1799c339f1d2eab56b46a5985d79f9c42874,1061.238362,0.1351,,"Thu, 05 Oct 2023 00:00:00 GMT",Mon Oct 17 2022,,,
0xd01a7916173a65212e83f7e10607cbc502c10749,986.8614385,0.1257,,"Thu, 05 Oct 2023 00:00:00 GMT",Tue Oct 11 2022,,,
0x8b63132ea07ab898afe389d393070b325d8277b9,920.6334031,0.1172,,"Thu, 05 Oct 2023 00:00:00 GMT",Wed Oct 05 2022,,,
0xeac35f2638feabc375d05d418f9904b0c8d6dc68,916.3991526,0.1167,,"Thu, 26 Oct 2023 00:00:00 GMT",Wed Oct 26 2022,,,
0xd3f1070b46e2aad65733e5a6d1cfd029c67b0791,870.219731,0.1108,,"Thu, 31 Aug 2023 00:00:00 GMT",Tue Oct 25 2022,,,
0xbf876cf9057aaf1eca78cdde94749a547bd8e63d,863.0991565,0.1099,,"Thu, 14 Sep 2023 00:00:00 GMT",Sun Sep 18 2022,,,
0xb234182bd57526686cd6db545c34daa04942daa8,849.9009826,0.1082,,"Thu, 31 Aug 2023 00:00:00 GMT",Thu Sep 01 2022,,,
0x3c5e4523b65cb0dea5247bb6b6b2de60688971cb,838.4589527,0.1068,,"Thu, 21 Sep 2023 00:00:00 GMT",Thu Sep 22 2022,,,
0x94debc57081c4c58dd69f4dfce589b82fc3c2866,825.3071707,0.1051,,"Thu, 17 Aug 2023 00:00:00 GMT",Thu Oct 06 2022,,,
0x5c2cebfc43349ee1e4dace71163ad7508ec3afa9,819.1106634,0.1043,,"Thu, 21 Sep 2023 00:00:00 GMT",Tue Nov 01 2022,,,
0x781096e8a3ec3a307c620a972535043896682013,795.490792,0.1013,,"Thu, 31 Aug 2023 00:00:00 GMT",Wed Aug 31 2022,,,
0x840800b500974851df219dc7c558a6b0bcc0ed58,785.7676408,0.1001,,"Thu, 12 Oct 2023 00:00:00 GMT",Wed Oct 12 2022,,,
0x3136be7a1fc3baf61e36202f94b9fbfde676e114,745.3457141,0.0949,,"Thu, 26 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0xd854a9f15f3fab95db38db30da1cf81aa9320b88,700.8276047,0.0892,,"Thu, 14 Sep 2023 00:00:00 GMT",Sat Oct 01 2022,,,
0x12d26abf06eb3499bcca8be7f5381647b56d53ee,688.1917643,0.0876,,"Thu, 05 Oct 2023 00:00:00 GMT",Thu Oct 13 2022,,,
0x901c7399a5561c12584b55e327d6fcedf8ef9428,647.7882711,0.0825,,"Thu, 28 Sep 2023 00:00:00 GMT",Tue Oct 04 2022,,,
0x4d98d36ae16fa325bc13a9cc15d64648bda42d8c,642.2513794,0.0818,,"Thu, 26 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0x3e8c91472fc50a8528e448ff501af9bf8c00cceb,629.0415925,0.0801,,"Thu, 26 Oct 2023 00:00:00 GMT",Fri Oct 28 2022,,,
0x9f83a430081fbc7d03b36c1115213de1d8217d83,624.830557,0.0796,,"Thu, 05 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0xe06500f6b2c463cb0fc384251ecc3e49001c696d,617.2995765,0.0786,,"Thu, 12 Oct 2023 00:00:00 GMT",Thu Oct 20 2022,,,
0x4477faf75af68a845fba18a72fe65d0eb3073ba1,612.919332,0.078,,"Thu, 28 Sep 2023 00:00:00 GMT",Fri Sep 30 2022,,,
0x7efdec1d3fa35a11906928c5b4416c5c8ebb8ff6,609.5865034,0.0776,,"Thu, 26 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0x5faa3c4b1c41887b2ae1391237dff44d58815aab,604.0935795,0.0769,,"Thu, 12 Oct 2023 00:00:00 GMT",Thu Oct 27 2022,,,
0x9deb607b7e92096df55b02aa563e82f612fd0def,601.5560209,0.0766,,"Thu, 17 Aug 2023 00:00:00 GMT",Mon Aug 22 2022,,,
0x3a279a6ff38edc992a7fe3aea2024a55fb7dfdba,599.2156013,0.0763,,"Thu, 12 Oct 2023 00:00:00 GMT",Fri Oct 28 2022,,,
0xd8b87a01980eb792e3bc030bdec42db2b9b5cbfc,598.9133072,0.0763,,"Thu, 28 Sep 2023 00:00:00 GMT",Tue Oct 04 2022,,,
